Stock,BackDays,Zhisun_day,Zhisun_price,IsFixZhisunPrice,EachStockTradeQuantity,VolAbs,LastTradeType,UpOpenFlag,DownOpenFlag,ExecTFlag,BuyLeft,SellLeft,VolUp1,VolUp2,VolUp3,VolDown4,VolDown5,VolDown6,SpecialZhisunFlag,SpecialZhisunPrice,SpecialZhisunDay,OpenTradeType,OpenTradeQuantity,OpenTradePrice,OpenTradeId,ZhisunFlag,DailyStartPosition
000001.SZ,20,60,-1.0,N,1200,0.19705170563166216,NV,Close,Close,Y,4,4,0.0,9.107051705631662,0.0,0.0,8.712948294368339,0.0,N,0.0,0,NV,0,0.0,0,N,4900
000002.SZ,10,60,-1.0,N,800,0.559058665825299,NV,Close,Close,Y,4,4,0.0,21.639058665825296,0.0,0.0,20.5209413341747,0.0,N,0.0,0,NV,0,0.0,0,N,3200
000027.SZ,40,60,-1.0,N,200,0.07994696699981627,NV,Close,Close,Y,4,4,0.0,5.059946966999816,0.0,0.0,4.900053033000185,0.0,N,0.0,0,NV,0,0.0,0,N,1100
000039.SZ,15,60,-1.0,N,200,0.3025256805202961,NV,Close,Close,Y,4,4,0.0,11.802525680520295,0.0,0.0,11.197474319479705,0.0,N,0.0,0,NV,0,0.0,0,N,900
000050.SZ,15,60,-1.0,N,100,0.2947421007651567,NV,Close,Close,Y,4,4,0.0,13.534742100765158,0.0,0.0,12.945257899234843,0.0,N,0.0,0,NV,0,0.0,0,N,500
000060.SZ,40,60,-1.0,N,200,0.09383807919346805,NV,Close,Close,Y,4,4,0.0,4.663838079193468,0.0,0.0,4.476161920806533,0.0,N,0.0,0,NV,0,0.0,0,N,1100
000069.SZ,25,60,-1.0,N,600,0.14386396881565572,NV,Close,Close,Y,4,4,0.0,6.443863968815656,0.0,0.0,6.156136031184344,0.0,N,0.0,0,NV,0,0.0,0,N,2500
000157.SZ,55,60,-1.0,N,500,0.04539373932131362,NV,Close,Close,Y,4,4,0.0,4.085393739321313,0.0,0.0,3.9946062606786863,0.0,N,0.0,0,NV,0,0.0,0,N,2000
000166.SZ,50,60,-1.0,N,1500,0.05819213272845566,NV,Close,Close,Y,4,4,0.0,4.318192132728456,0.0,0.0,4.201807867271544,0.0,N,0.0,0,NV,0,0.0,0,N,6200
000333.SZ,6,60,-1.0,N,400,1.2902802874989814,NV,Close,Close,Y,4,4,0.0,43.17028028749898,0.0,0.0,40.58971971250102,0.0,N,0.0,0,NV,0,0.0,0,N,1900
000338.SZ,25,60,-1.0,N,500,0.14845538972125505,NV,Close,Close,Y,4,4,0.0,7.888455389721255,0.0,0.0,7.591544610278746,0.0,N,0.0,0,NV,0,0.0,0,N,2100
000402.SZ,28,60,-1.0,N,200,0.12669833020184307,NV,Close,Close,Y,4,4,0.0,7.126698330201843,0.0,0.0,6.873301669798157,0.0,N,0.0,0,NV,0,0.0,0,N,900
000413.SZ,25,60,-1.0,N,400,0.14467427161638113,NV,Close,Close,Y,4,4,0.0,5.774674271616381,0.0,0.0,5.485325728383619,0.0,N,0.0,0,NV,0,0.0,0,N,1800
000423.SZ,8,60,-1.0,N,100,0.7938385145958144,NV,Close,Close,Y,4,4,0.0,49.68383851459581,0.0,0.0,48.09616148540419,0.0,N,0.0,0,NV,0,0.0,0,N,400
000425.SZ,35,60,-1.0,N,400,0.09731953214669493,NV,Close,Close,Y,4,4,0.0,4.167319532146696,0.0,0.0,3.9726804678533054,0.0,N,0.0,0,NV,0,0.0,0,N,1800
000538.SZ,4,60,-1.0,N,100,2.7352919424253703,NV,Close,Close,Y,4,4,0.0,98.23529194242538,0.0,0.0,92.76470805757462,0.0,N,0.0,0,NV,0,0.0,0,N,400
000559.SZ,20,60,-1.0,N,200,0.19728418073033946,NV,Close,Close,Y,4,4,0.0,6.507284180730339,0.0,0.0,6.11271581926966,0.0,N,0.0,0,NV,0,0.0,0,N,800
000568.SZ,6,60,-1.0,N,100,1.2763101040321074,NV,Close,Close,Y,4,4,0.0,49.956310104032106,0.0,0.0,47.403689895967894,0.0,N,0.0,0,NV,0,0.0,0,N,400
000581.SZ,15,60,-1.0,N,100,0.2941222171661254,NV,Close,Close,Y,4,4,0.0,20.294122217166127,0.0,0.0,19.705877782833873,0.0,N,0.0,0,NV,0,0.0,0,N,400
000625.SZ,30,60,-1.0,N,300,0.10731114431376125,NV,Close,Close,Y,4,4,0.0,7.657311144313761,0.0,0.0,7.442688855686239,0.0,N,0.0,0,NV,0,0.0,0,N,1500
000627.SZ,25,60,-1.0,N,300,0.13757534301504343,NV,Close,Close,Y,4,4,0.0,6.567575343015043,0.0,0.0,6.292424656984957,0.0,N,0.0,0,NV,0,0.0,0,N,1400
000630.SZ,85,60,-1.0,N,700,0.03245633009615072,NV,Close,Close,Y,4,4,0.0,2.1324563300961508,0.0,0.0,2.0675436699038494,0.0,N,0.0,0,NV,0,0.0,0,N,3100
000651.SZ,8,60,-1.0,N,400,0.7935330693481671,NV,Close,Close,Y,4,4,0.0,40.30353306934816,0.0,0.0,38.71646693065183,0.0,N,0.0,0,NV,0,0.0,0,N,1600
000656.SZ,50,60,-1.0,N,300,0.05965408857804961,NV,Close,Close,Y,4,4,0.0,5.0796540885780495,0.0,0.0,4.96034591142195,0.0,N,0.0,0,NV,0,0.0,0,N,1300
000709.SZ,60,60,-1.0,N,700,0.05071923603792387,NV,Close,Close,Y,4,4,0.0,2.8707192360379237,0.0,0.0,2.769280763962076,0.0,N,0.0,0,NV,0,0.0,0,N,3000
000725.SZ,30,60,-1.0,N,2400,0.12896176910163998,NV,Close,Close,Y,4,4,0.0,3.57896176910164,0.0,0.0,3.32103823089836,0.0,N,0.0,0,NV,0,0.0,0,N,9900
000728.SZ,27,60,-1.0,N,200,0.12799365622376072,NV,Close,Close,Y,4,4,0.0,6.747993656223761,0.0,0.0,6.492006343776239,0.0,N,0.0,0,NV,0,0.0,0,N,1000
000768.SZ,10,60,-1.0,N,100,0.5622507068627146,NV,Close,Close,Y,4,4,0.0,15.632250706862715,0.0,0.0,14.507749293137286,0.0,N,0.0,0,NV,0,0.0,0,N,600
000776.SZ,22,60,-1.0,N,500,0.1641045608178156,NV,Close,Close,Y,4,4,0.0,13.104104560817815,0.0,0.0,12.775895439182184,0.0,N,0.0,0,NV,0,0.0,0,N,2100
000783.SZ,40,60,-1.0,N,400,0.08350170336638676,NV,Close,Close,Y,4,4,0.0,5.183501703366386,0.0,0.0,5.016498296633613,0.0,N,0.0,0,NV,0,0.0,0,N,1700
000792.SZ,14,60,-1.0,N,200,0.3489292293817075,NV,Close,Close,Y,4,4,0.0,8.268929229381708,0.0,0.0,7.5710707706182925,0.0,N,0.0,0,NV,0,0.0,0,N,1000
000826.SZ,13,60,-1.0,N,100,0.3720084324569206,NV,Close,Close,Y,4,4,0.0,16.38200843245692,0.0,0.0,15.63799156754308,0.0,N,0.0,0,NV,0,0.0,0,N,400
000839.SZ,30,60,-1.0,N,300,0.12095240098032815,NV,Close,Close,Y,4,4,0.0,4.670952400980328,0.0,0.0,4.429047599019672,0.0,N,0.0,0,NV,0,0.0,0,N,1300
000858.SZ,6,60,-1.0,N,200,1.2778721140800058,NV,Close,Close,Y,4,4,0.0,66.94787211408001,0.0,0.0,64.39212788591999,0.0,N,0.0,0,NV,0,0.0,0,N,1100
000876.SZ,35,60,-1.0,N,300,0.09013678902571827,NV,Close,Close,Y,4,4,0.0,6.490136789025718,0.0,0.0,6.3098632109742825,0.0,N,0.0,0,NV,0,0.0,0,N,1200
000883.SZ,50,60,-1.0,N,400,0.05207515293167155,NV,Close,Close,Y,4,4,0.0,4.282075152931672,0.0,0.0,4.177924847068329,0.0,N,0.0,0,NV,0,0.0,0,N,1700
000895.SZ,12,60,-1.0,N,200,0.4320952525670158,NV,Close,Close,Y,4,4,0.0,24.562095252567016,0.0,0.0,23.697904747432982,0.0,N,0.0,0,NV,0,0.0,0,N,500
000898.SZ,35,60,-1.0,N,400,0.10681828611308294,buy3,Open,Close,Y,4,3,6.463409143056541,6.41,6.356590856943459,6.249772570830376,6.196363427773834,6.142954284717293,N,0.0,0,NV,0,0.0,0,N,2600
000938.SZ,6,60,-1.0,N,100,1.3108927182772545,NV,Close,Close,Y,4,4,0.0,46.760892718277255,0.0,0.0,44.13910728172275,0.0,N,0.0,0,NV,0,0.0,0,N,400
000963.SZ,5,60,-1.0,N,100,1.8071653418802596,NV,Close,Close,Y,4,4,0.0,46.51716534188026,0.0,0.0,42.902834658119744,0.0,N,0.0,0,NV,0,0.0,0,N,400
000983.SZ,25,60,-1.0,N,200,0.14871987278003726,NV,Close,Close,Y,4,4,0.0,7.0187198727800375,0.0,0.0,6.721280127219963,0.0,N,0.0,0,NV,0,0.0,0,N,900
000999.SZ,10,60,-1.0,N,100,0.5558828795360367,NV,Close,Close,Y,4,4,0.0,25.415882879536035,0.0,0.0,24.304117120463964,0.0,N,0.0,0,NV,0,0.0,0,N,400
001979.SZ,12,60,-1.0,N,500,0.4402106809261499,NV,Close,Close,Y,4,4,0.0,17.16021068092615,0.0,0.0,16.27978931907385,0.0,N,0.0,0,NV,0,0.0,0,N,2400
002008.SZ,8,60,-1.0,N,100,0.8059271414634295,NV,Close,Close,Y,4,4,0.0,41.95592714146343,0.0,0.0,40.34407285853657,0.0,N,0.0,0,NV,0,0.0,0,N,400
002024.SZ,20,60,-1.0,N,700,0.19567651897818328,NV,Close,Close,Y,4,4,0.0,12.885676518978183,0.0,0.0,12.494323481021816,0.0,N,0.0,0,NV,0,0.0,0,N,2900
002027.SZ,20,60,-1.0,N,900,0.21358407741642343,NV,Close,Close,Y,4,4,0.0,10.453584077416423,0.0,0.0,10.026415922583578,0.0,N,0.0,0,NV,0,0.0,0,N,3600
002044.SZ,10,60,-1.0,N,200,0.5806764836697828,NV,Close,Close,Y,4,4,0.0,16.880676483669784,0.0,0.0,15.719323516330219,0.0,N,0.0,0,NV,0,0.0,0,N,1000
002065.SZ,20,60,-1.0,N,200,0.20440923521185786,NV,Close,Close,Y,4,4,0.0,8.604409235211858,0.0,0.0,8.195590764788143,0.0,N,0.0,0,NV,0,0.0,0,N,900
002081.SZ,18,60,-1.0,N,100,0.22827104944743012,NV,Close,Close,Y,4,4,0.0,10.21827104944743,0.0,0.0,9.76172895055257,0.0,N,0.0,0,NV,0,0.0,0,N,700
002142.SZ,15,60,-1.0,N,300,0.2987395648724147,buy3,Open,Close,Y,4,3,17.139369782436205,16.99,16.840630217563792,16.541890652691375,16.39252087025517,16.243151087818962,N,0.0,0,NV,0,0.0,0,N,1300
002146.SZ,25,60,-1.0,N,300,0.15024654104930224,NV,Close,Close,Y,4,4,0.0,7.450246541049302,0.0,0.0,7.1497534589506975,0.0,N,0.0,0,NV,0,0.0,0,N,1200
002153.SZ,8,60,-1.0,N,100,0.7912959292789045,NV,Close,Close,Y,4,4,0.0,30.841295929278907,0.0,0.0,29.258704070721095,0.0,N,0.0,0,NV,0,0.0,0,N,400
002180.SZ,8,60,-1.0,N,100,0.8043212775646856,NV,Close,Close,Y,4,4,0.0,29.624321277564686,0.0,0.0,28.015678722435315,0.0,N,0.0,0,NV,0,0.0,0,N,400
002195.SZ,20,60,-1.0,N,200,0.21833076537906132,NV,Close,Close,Y,4,4,0.0,4.328330765379062,0.0,0.0,3.891669234620939,0.0,N,0.0,0,NV,0,0.0,0,N,1100
002202.SZ,14,60,-1.0,N,200,0.34554611197002216,NV,Close,Close,Y,4,4,0.0,13.155546111970022,0.0,0.0,12.464453888029979,0.0,N,0.0,0,NV,0,0.0,0,N,1000
002230.SZ,10,60,-1.0,N,100,0.5551466830424522,NV,Close,Close,Y,4,4,0.0,29.68514668304245,0.0,0.0,28.574853316957547,0.0,N,0.0,0,NV,0,0.0,0,N,600
002236.SZ,12,60,-1.0,N,200,0.432540009283095,NV,Close,Close,Y,4,4,0.0,16.422540009283097,0.0,0.0,15.557459990716906,0.0,N,0.0,0,NV,0,0.0,0,N,900
002241.SZ,18,60,-1.0,N,200,0.23846318251015058,NV,Close,Close,Y,4,4,0.0,8.96846318251015,0.0,0.0,8.49153681748985,0.0,N,0.0,0,NV,0,0.0,0,N,1000
002294.SZ,8,60,-1.0,N,100,0.7929634371278793,NV,Close,Close,Y,4,4,0.0,33.48296343712788,0.0,0.0,31.897036562872117,0.0,N,0.0,0,NV,0,0.0,0,N,400
002304.SZ,4,60,-1.0,N,100,2.697673321050438,NV,Close,Close,Y,4,4,0.0,120.32767332105044,0.0,0.0,114.93232667894955,0.0,N,0.0,0,NV,0,0.0,0,N,400
002385.SZ,35,60,-1.0,N,300,0.10412974131971811,NV,Close,Close,Y,4,4,0.0,4.004129741319718,0.0,0.0,3.795870258680282,0.0,N,0.0,0,NV,0,0.0,0,N,1400
002415.SZ,10,60,-1.0,N,600,0.5537499654410262,NV,Close,Close,Y,4,4,0.0,30.583749965441026,0.0,0.0,29.476250034558976,0.0,N,0.0,0,NV,0,0.0,0,N,2700
002422.SZ,8,60,-1.0,N,100,0.802427984655581,NV,Close,Close,Y,4,4,0.0,29.41242798465558,0.0,0.0,27.80757201534442,0.0,N,0.0,0,NV,0,0.0,0,N,400
002450.SZ,12,60,-1.0,N,0,0.413319892254575,NV,Close,Close,Y,4,4,0.0,17.493319892254572,0.0,0.0,16.666680107745425,0.0,N,0.0,0,NV,0,0.0,0,N,0
002456.SZ,10,60,-1.0,N,100,0.5569943838436642,NV,Close,Close,Y,4,4,0.0,16.606994383843666,0.0,0.0,15.493005616156337,0.0,N,0.0,0,NV,0,0.0,0,N,700
002460.SZ,4,60,-1.0,N,100,2.7370752555495512,NV,Close,Close,Y,4,4,0.0,37.91707525554955,0.0,0.0,32.44292474445045,0.0,N,0.0,0,NV,0,0.0,0,N,400
002465.SZ,18,60,-1.0,N,100,0.2262914705414564,NV,Close,Close,Y,4,4,0.0,8.526291470541457,0.0,0.0,8.073708529458544,0.0,N,0.0,0,NV,0,0.0,0,N,600
002466.SZ,6,60,-1.0,N,100,1.2913734173830713,NV,Close,Close,Y,4,4,0.0,44.61137341738307,0.0,0.0,42.02862658261693,0.0,N,0.0,0,NV,0,0.0,0,N,400
002475.SZ,10,60,-1.0,N,200,0.5619316353360899,NV,Close,Close,Y,4,4,0.0,18.26193163533609,0.0,0.0,17.13806836466391,0.0,N,0.0,0,NV,0,0.0,0,N,1000
002493.SZ,20,60,-1.0,N,300,0.20146154740812913,sell2,Open,Close,Y,5,3,12.280730773704065,12.18,12.079269226295935,11.877807678887805,11.777076905183742,11.676346131479677,N,0.0,0,buy5-openDownOnly,300,10.91178,1934,N,1100
002500.SZ,25,60,-1.0,N,200,0.14415666057084256,NV,Close,Close,Y,4,4,0.0,6.384156660570842,0.0,0.0,6.095843339429158,0.0,N,0.0,0,NV,0,0.0,0,N,800
002508.SZ,8,60,-1.0,N,100,0.7961011208332732,NV,Close,Close,Y,4,4,0.0,25.776101120833275,0.0,0.0,24.183898879166726,0.0,N,0.0,0,NV,0,0.0,0,N,400
002555.SZ,12,60,-1.0,N,100,0.42891874016819437,NV,Close,Close,Y,4,4,0.0,10.628918740168194,0.0,0.0,9.771081259831805,0.0,N,0.0,0,NV,0,0.0,0,N,600
002558.SZ,10,60,-1.0,N,100,0.6419975775235804,NV,Close,Close,Y,4,4,0.0,22.90199757752358,0.0,0.0,21.618002422476422,0.0,N,0.0,0,NV,0,0.0,0,N,400
002594.SZ,8,60,-1.0,N,200,0.792411519115337,NV,Close,Close,Y,4,4,0.0,39.12241151911534,0.0,0.0,37.53758848088466,0.0,N,0.0,0,NV,0,0.0,0,N,800
002602.SZ,12,60,-1.0,N,0,0.413319892254575,NV,Close,Close,Y,4,4,0.0,32.91331989225458,0.0,0.0,32.08668010774542,0.0,N,0.0,0,NV,0,0.0,0,N,0
002624.SZ,8,60,-1.0,N,100,0.8033576981072134,NV,Close,Close,Y,4,4,0.0,27.903357698107214,0.0,0.0,26.29664230189279,0.0,N,0.0,0,NV,0,0.0,0,N,400
002673.SZ,25,60,-1.0,N,200,0.14773516672241283,NV,Close,Close,Y,4,4,0.0,7.077735166722412,0.0,0.0,6.782264833277587,0.0,N,0.0,0,NV,0,0.0,0,N,1000
002714.SZ,8,60,-1.0,N,100,0.8196052680062571,NV,Close,Close,Y,4,4,0.0,28.009605268006258,0.0,0.0,26.370394731993745,0.0,N,0.0,0,NV,0,0.0,0,N,500
002736.SZ,25,60,-1.0,N,600,0.13897144773837466,NV,Close,Close,Y,4,4,0.0,8.618971447738375,0.0,0.0,8.341028552261626,0.0,N,0.0,0,NV,0,0.0,0,N,2400
002797.SZ,25,60,-1.0,N,200,0.14821292405936165,NV,Close,Close,Y,4,4,0.0,5.618212924059361,0.0,0.0,5.321787075940638,0.0,N,0.0,0,NV,0,0.0,0,N,1000
600000.SH,30,60,-1.0,N,2000,0.10665816658034855,buy2,Open,Close,Y,5,2,9.993329083290174,9.94,9.886670916709825,9.780012750129476,9.726683666839303,9.673354583549129,N,0.0,0,NV,0,0.0,0,N,8200
600008.SH,35,60,-1.0,N,300,0.08648606160235549,NV,Close,Close,Y,4,4,0.0,4.096486061602355,0.0,0.0,3.9235139383976443,0.0,N,0.0,0,NV,0,0.0,0,N,1300
600009.SH,6,60,-1.0,N,100,1.30967106104808,NV,Close,Close,Y,4,4,0.0,60.98967106104808,0.0,0.0,58.37032893895192,0.0,N,0.0,0,NV,0,0.0,0,N,300
600010.SH,70,60,-1.0,N,3100,0.05224197305730133,NV,Close,Close,Y,4,4,0.0,1.6322419730573015,0.0,0.0,1.5277580269426987,0.0,N,0.0,0,NV,0,0.0,0,N,12400
600011.SH,25,60,-1.0,N,900,0.15768738043702793,NV,Close,Close,Y,4,4,0.0,7.717687380437027,0.0,0.0,7.402312619562972,0.0,N,0.0,0,NV,0,0.0,0,N,1900
600015.SH,30,60,-1.0,N,900,0.10676883437648255,NV,Close,Close,Y,4,4,0.0,7.446768834376482,0.0,0.0,7.2332311656235175,0.0,N,0.0,0,NV,0,0.0,0,N,3700
600016.SH,35,60,-1.0,N,3000,0.08665335660342575,NV,Close,Close,Y,4,4,0.0,5.906653356603426,0.0,0.0,5.733346643396574,0.0,N,0.0,0,NV,0,0.0,0,N,12300
600018.SH,35,60,-1.0,N,1600,0.08604684618918515,NV,Close,Close,Y,4,4,0.0,5.956046846189185,0.0,0.0,5.783953153810815,0.0,N,0.0,0,NV,0,0.0,0,N,6400
600019.SH,23,60,-1.0,N,1400,0.1720479488672217,NV,Close,Close,Y,4,4,0.0,8.462047948867221,0.0,0.0,8.117952051132777,0.0,N,0.0,0,NV,0,0.0,0,N,8600
600023.SH,40,60,-1.0,N,900,0.07764570168336804,NV,Close,Close,Y,4,4,0.0,5.137645701683367,0.0,0.0,4.982354298316632,0.0,N,0.0,0,NV,0,0.0,0,N,3700
600027.SH,35,60,-1.0,N,600,0.09731466121249867,NV,Close,Close,Y,4,4,0.0,4.377314661212499,0.0,0.0,4.182685338787501,0.0,N,0.0,0,NV,0,0.0,0,N,2400
600028.SH,25,60,-1.0,N,8400,0.1377005695480236,NV,Close,Close,Y,4,4,0.0,6.717700569548024,0.0,0.0,6.4422994304519765,0.0,N,0.0,0,NV,0,0.0,0,N,33700
600029.SH,15,60,-1.0,N,900,0.3072007451246052,NV,Close,Close,Y,4,4,0.0,6.787200745124606,0.0,0.0,6.172799254875395,0.0,N,0.0,0,NV,0,0.0,0,N,3700
600030.SH,15,60,-1.0,N,800,0.29743629096095386,NV,Close,Close,Y,4,4,0.0,16.317436290960952,0.0,0.0,15.722563709039045,0.0,N,0.0,0,NV,0,0.0,0,N,3500
