Stock,BackDays,Zhisun_day,Zhisun_price,IsFixZhisunPrice,EachStockTradeQuantity,VolAbs,LastTradeType,UpOpenFlag,DownOpenFlag,ExecTFlag,BuyLeft,SellLeft,VolUp1,VolUp2,VolUp3,VolDown4,VolDown5,VolDown6,SpecialZhisunFlag,SpecialZhisunPrice,SpecialZhisunDay,OpenTradeType,OpenTradeQuantity,OpenTradePrice,OpenTradeId,ZhisunFlag,DailyStartPosition
600000.SH,28,60,-1.0,Y,5500,0.11705904779443907,NV,Close,Close,Y,4,4,0.0,9.71705904779444,0.0,0.0,9.48294095220556,0.0,N,0,0,NV,0,0.0,0,N,200
600016.SH,38,60,-1.0,Y,10200,0.07489595115590222,NV,Close,Close,Y,4,4,0.0,5.924895951155902,0.0,0.0,5.7751040488440974,0.0,N,0,0,NV,0,0.0,0,N,48960
600019.SH,25,60,-1.0,Y,4200,0.15270867932863985,NV,Close,Close,Y,4,4,0.0,7.64270867932864,0.0,0.0,7.33729132067136,0.0,N,0,0,NV,0,0.0,0,N,8400
600028.SH,30,60,-1.0,Y,4600,0.10869989785608797,NV,Close,Close,Y,4,4,0.0,6.518699897856088,0.0,0.0,6.301300102143912,0.0,N,0,0,NV,0,0.0,0,N,4700
600029.SH,20,60,-1.0,Y,1500,0.21603900352726493,NV,Close,Close,Y,4,4,0.0,8.026039003527265,0.0,0.0,7.593960996472735,0.0,N,0,0,NV,0,0.0,0,N,1600
600030.SH,17,60,-1.0,Y,3300,0.25680325051589836,NV,Close,Close,Y,4,4,0.0,16.7668032505159,0.0,0.0,16.253196749484104,0.0,N,0,0,NV,0,0.0,0,N,200
600036.SH,12,60,-1.0,Y,4500,0.4292172783103718,NV,Close,Close,Y,4,4,0.0,27.37921727831037,0.0,0.0,26.520782721689628,0.0,N,0,0,NV,0,0.0,0,N,4700
600048.SH,18,60,-1.0,Y,3200,0.2658319404875803,NV,Close,Close,Y,4,4,0.0,11.41583194048758,0.0,0.0,10.88416805951242,0.0,N,0,0,NV,0,0.0,0,N,3200
600050.SH,28,60,-1.0,Y,3900,0.12618993297310227,NV,Close,Close,Y,4,4,0.0,4.976189932973102,0.0,0.0,4.723810067026897,0.0,N,0,0,NV,0,0.0,0,N,15900
600104.SH,15,60,-1.0,Y,1300,0.30245184285051324,NV,Close,Close,Y,4,4,0.0,34.78245184285051,0.0,0.0,34.17754815714948,0.0,N,0,0,NV,0,0.0,0,N,1300
600111.SH,25,60,-1.0,Y,900,0.14269081389736107,NV,Close,Close,Y,4,4,0.0,10.942690813897363,0.0,0.0,10.657309186102639,0.0,N,0,0,NV,0,0.0,0,N,900
600340.SH,10,60,-1.0,Y,500,0.5855612341543399,NV,Close,Close,Y,4,4,0.0,25.48556123415434,0.0,0.0,24.314438765845658,0.0,N,0,0,NV,0,0.0,0,N,100
600518.SH,12,60,-1.0,Y,1000,0.4168467411465488,NV,Close,Close,Y,4,4,0.0,23.33684674114655,0.0,0.0,22.50315325885345,0.0,N,0,0,NV,0,0.0,0,N,2200
600519.SH,3,60,-1.0,Y,200,10.639653379255334,NV,Close,Close,Y,4,4,0.0,737.8796533792554,0.0,0.0,716.6003466207446,0.0,N,0,0,NV,0,0.0,0,N,400
600547.SH,12,60,-1.0,Y,300,0.4309523153497286,NV,Close,Close,Y,4,4,0.0,24.970952315349727,0.0,0.0,24.10904768465027,0.0,N,0,0,NV,0,0.0,0,N,300
600606.SH,30,60,-1.0,Y,1600,0.1156426414801192,NV,Close,Close,Y,4,4,0.0,6.445642641480119,0.0,0.0,6.214357358519881,0.0,N,0,0,NV,0,0.0,0,N,1600
600837.SH,30,60,-1.0,Y,3600,0.11293960622893146,NV,Close,Close,Y,4,4,0.0,9.47293960622893,0.0,0.0,9.247060393771068,0.0,N,0,0,NV,0,0.0,0,N,3600
600887.SH,10,60,-1.0,Y,2600,0.5761900330806982,NV,Close,Close,Y,4,4,0.0,28.6161900330807,0.0,0.0,27.4638099669193,0.0,N,0,0,NV,0,0.0,0,N,200
600919.SH,45,60,-1.0,Y,2900,0.05968486207833325,NV,Close,Close,Y,4,4,0.0,6.479684862078333,0.0,0.0,6.360315137921667,0.0,N,0,0,NV,0,0.0,0,N,8700
600958.SH,20,60,-1.0,Y,1300,0.20625847974529776,NV,Close,Close,Y,4,4,0.0,9.276258479745298,0.0,0.0,8.863741520254703,0.0,N,0,0,NV,0,0.0,0,N,5400
600999.SH,20,60,-1.0,Y,900,0.2021583573431056,NV,Close,Close,Y,4,4,0.0,13.412158357343106,0.0,0.0,13.007841642656896,0.0,N,0,0,NV,0,0.0,0,N,300
601006.SH,23,60,-1.0,Y,2500,0.1623516964734944,NV,Close,Close,Y,4,4,0.0,8.532351696473494,0.0,0.0,8.207648303526504,0.0,N,0,0,NV,0,0.0,0,N,2500
601088.SH,12,60,-1.0,Y,800,0.4203973878320642,NV,Close,Close,Y,4,4,0.0,18.980397387832063,0.0,0.0,18.139602612167934,0.0,N,0,0,NV,0,0.0,0,N,2600
601166.SH,20,60,-1.0,Y,5400,0.19201562540485412,NV,Close,Close,Y,4,4,0.0,14.652015625404855,0.0,0.0,14.267984374595146,0.0,N,0,0,NV,0,0.0,0,N,11000
601169.SH,40,60,-1.0,Y,6400,0.06970510848333693,NV,Close,Close,Y,4,4,0.0,6.0897051084833365,0.0,0.0,5.950294891516663,0.0,N,0,0,NV,0,0.0,0,N,6600
601186.SH,35,60,-1.0,Y,2000,0.08722233699708337,NV,Close,Close,Y,4,4,0.0,8.417222336997083,0.0,0.0,8.242777663002917,0.0,N,0,0,NV,0,0.0,0,N,2300
601211.SH,18,60,-1.0,Y,1600,0.23361501510923754,NV,Close,Close,Y,4,4,0.0,14.693615015109238,0.0,0.0,14.226384984890764,0.0,N,0,0,NV,0,0.0,0,N,1900
601229.SH,25,60,-1.0,Y,300,0.1366702065450717,NV,Close,Close,Y,4,4,0.0,15.626670206545072,0.0,0.0,15.353329793454929,0.0,N,0,0,NV,0,0.0,0,N,500
601288.SH,45,60,-1.0,Y,17500,0.06054864784717369,NV,Close,Close,Y,4,4,0.0,3.5805486478471735,0.0,0.0,3.4594513521528265,0.0,N,0,0,NV,0,0.0,0,N,70100
601318.SH,8,60,-1.0,Y,4600,0.8279715185622728,NV,Close,Close,Y,4,4,0.0,59.707971518562275,0.0,0.0,58.05202848143773,0.0,N,0,0,NV,0,0.0,0,N,100
601328.SH,45,60,-1.0,Y,12100,0.05788652960335002,NV,Close,Close,Y,4,4,0.0,6.007886529603351,0.0,0.0,5.89211347039665,0.0,N,0,0,NV,0,0.0,0,N,48500
601336.SH,8,60,-1.0,Y,300,0.8243691008488908,NV,Close,Close,Y,4,4,0.0,45.48436910084889,0.0,0.0,43.835630899151106,0.0,N,0,0,NV,0,0.0,0,N,200
601390.SH,35,60,-1.0,Y,0,0.0780086099619803,NV,Close,Close,N,4,4,0.0,7.54800860996198,0.0,0.0,7.39199139003802,0.0,N,0,0,NV,0,0.0,0,N,0
601398.SH,40,60,-1.0,Y,9700,0.07467192967970164,NV,Close,Close,Y,4,4,0.0,5.604671929679702,0.0,0.0,5.455328070320299,0.0,N,0,0,NV,0,0.0,0,N,29300
601601.SH,8,60,-1.0,Y,1300,0.8361236495853437,NV,Close,Close,Y,4,4,0.0,33.56612364958534,0.0,0.0,31.893876350414654,0.0,N,0,0,NV,0,0.0,0,N,2600
601628.SH,15,60,-1.0,Y,700,0.30163373706177027,NV,Close,Close,Y,4,4,0.0,23.151633737061772,0.0,0.0,22.54836626293823,0.0,N,0,0,NV,0,0.0,0,N,700
601668.SH,30,60,-1.0,Y,6600,0.10825910551191002,NV,Close,Close,Y,4,4,0.0,5.25825910551191,0.0,0.0,5.041740894488091,0.0,N,0,0,NV,0,0.0,0,N,18480
601669.SH,35,60,-1.0,Y,2000,0.08332223951640737,NV,Close,Close,Y,4,4,0.0,5.6233222395164075,0.0,0.0,5.4566777604835925,0.0,N,0,0,NV,0,0.0,0,N,4300
601688.SH,15,60,-1.0,Y,1400,0.3096773246870512,NV,Close,Close,Y,4,4,0.0,14.959677324687052,0.0,0.0,14.34032267531295,0.0,N,0,0,NV,0,0.0,0,N,300
601766.SH,35,60,-1.0,Y,3200,0.0945051271570012,NV,Close,Close,Y,4,4,0.0,7.604505127157001,0.0,0.0,7.415494872842999,0.0,N,0,0,NV,0,0.0,0,N,9700
601800.SH,25,60,-1.0,Y,600,0.14029452803452944,NV,Close,Close,Y,4,4,0.0,11.400294528034529,0.0,0.0,11.11970547196547,0.0,N,0,0,NV,0,0.0,0,N,300
601818.SH,45,60,-1.0,Y,7000,0.0588283295986115,NV,Close,Close,Y,4,4,0.0,3.7388283295986118,0.0,0.0,3.6211716704013885,0.0,N,0,0,NV,0,0.0,0,N,28000
601857.SH,34,60,-1.0,Y,2600,0.09181991334378072,NV,Close,Close,Y,4,4,0.0,7.7018199133437815,0.0,0.0,7.518180086656219,0.0,N,0,0,NV,0,0.0,0,N,2800
601878.SH,22,60,-1.0,Y,100,0.19059636430411417,NV,Close,Close,Y,4,4,0.0,8.050596364304115,0.0,0.0,7.669403635695886,0.0,N,0,0,NV,0,0.0,0,N,300
601881.SH,20,60,-1.0,Y,200,0.2152725773828793,NV,Close,Close,Y,4,4,0.0,7.945272577382879,0.0,0.0,7.5147274226171215,0.0,N,0,0,NV,0,0.0,0,N,500
601985.SH,35,60,-1.0,Y,2000,0.08950859906922051,NV,Close,Close,Y,4,4,0.0,5.739508599069221,0.0,0.0,5.56049140093078,0.0,N,0,0,NV,0,0.0,0,N,4300
601988.SH,55,60,-1.0,Y,9100,0.04560974551548835,NV,Close,Close,Y,4,4,0.0,3.7956097455154882,0.0,0.0,3.7043902544845118,0.0,N,0,0,NV,0,0.0,0,N,36700
