Stock,BackDays,Zhisun_day,Zhisun_price,IsFixZhisunPrice,EachStockTradeQuantity,VolAbs,LastTradeType,UpOpenFlag,DownOpenFlag,ExecTFlag,BuyLeft,SellLeft,VolUp1,VolUp2,VolUp3,VolDown4,VolDown5,VolDown6,SpecialZhisunFlag,SpecialZhisunPrice,SpecialZhisunDay,OpenTradeType,OpenTradeQuantity,OpenTradePrice,OpenTradeId,ZhisunFlag,DailyStartPosition
600000.SH,28,60,-1.0,N,5500,0.11403594028664837,NV,Close,Close,Y,4,4,0.0,9.944035940286648,0.0,0.0,9.715964059713352,0.0,N,0,0,NV,0,0.0,0,N,11200
600016.SH,38,60,-1.0,N,10200,0.0719249599955014,NV,Close,Close,Y,4,4,0.0,7.321924959995501,0.0,0.0,7.178075040004499,0.0,N,0,0,NV,0,0.0,0,N,40800
600019.SH,25,60,-1.0,N,4200,0.14314993917401267,NV,Close,Close,Y,4,4,0.0,8.833149939174012,0.0,0.0,8.546850060825987,0.0,N,0,0,NV,0,0.0,0,N,8400
600028.SH,30,60,-1.0,N,4600,0.1084042442836076,NV,Close,Close,Y,4,4,0.0,6.518404244283608,0.0,0.0,6.301595755716392,0.0,N,0,0,NV,0,0.0,0,N,9300
600029.SH,20,60,-1.0,N,1500,0.20154094127152983,NV,Close,Close,Y,4,4,0.0,10.30154094127153,0.0,0.0,9.89845905872847,0.0,N,0,0,NV,0,0.0,0,N,1600
600030.SH,17,60,-1.0,N,3300,0.25453439963829283,NV,Close,Close,Y,4,4,0.0,16.534534399638293,0.0,0.0,16.02546560036171,0.0,N,0,0,NV,0,0.0,0,N,6800
600036.SH,12,60,-1.0,N,4500,0.41673724137394486,NV,Close,Close,Y,4,4,0.0,29.066737241373943,0.0,0.0,28.233262758626054,0.0,N,0,0,NV,0,0.0,0,N,4700
600048.SH,18,60,-1.0,N,3200,0.24365087954531264,NV,Close,Close,Y,4,4,0.0,14.423650879545312,0.0,0.0,13.936349120454688,0.0,N,0,0,NV,0,0.0,0,N,3200
600050.SH,28,60,-1.0,N,3900,0.12799821941579903,NV,Close,Close,Y,4,4,0.0,4.977998219415799,0.0,0.0,4.7220017805842005,0.0,N,0,0,NV,0,0.0,0,N,15900
600104.SH,15,60,-1.0,N,1300,0.29355975039993676,NV,Close,Close,Y,4,4,0.0,36.113559750399936,0.0,0.0,35.526440249600064,0.0,N,0,0,NV,0,0.0,0,N,1300
600111.SH,25,60,-1.0,N,900,0.1407229174210868,NV,Close,Close,Y,4,4,0.0,11.510722917421086,0.0,0.0,11.229277082578912,0.0,N,0,0,NV,0,0.0,0,N,1800
600340.SH,10,60,-1.0,N,500,0.5608296750950975,NV,Close,Close,Y,4,4,0.0,28.590829675095097,0.0,0.0,27.469170324904905,0.0,N,0,0,NV,0,0.0,0,N,600
600518.SH,12,60,-1.0,N,1000,0.41273504388118276,NV,Close,Close,Y,4,4,0.0,23.32273504388118,0.0,0.0,22.49726495611882,0.0,N,0,0,NV,0,0.0,0,N,4200
600519.SH,3,60,-1.0,N,200,10.627089852486048,NV,Close,Close,Y,4,4,0.0,769.9470898524861,0.0,0.0,748.692910147514,0.0,N,0,0,NV,0,0.0,0,N,400
600547.SH,12,60,-1.0,N,300,0.4274458240068958,NV,Close,Close,Y,4,4,0.0,24.387445824006896,0.0,0.0,23.532554175993106,0.0,N,0,0,NV,0,0.0,0,N,300
600606.SH,30,60,-1.0,N,1600,0.10600525135102579,NV,Close,Close,Y,4,4,0.0,7.1660052513510255,0.0,0.0,6.953994748648974,0.0,N,0,0,NV,0,0.0,0,N,1600
600837.SH,30,60,-1.0,N,3600,0.10824913472677068,NV,Close,Close,Y,4,4,0.0,9.268249134726771,0.0,0.0,9.05175086527323,0.0,N,0,0,NV,0,0.0,0,N,11000
600887.SH,10,60,-1.0,N,2600,0.5688855406585653,NV,Close,Close,Y,4,4,0.0,29.908885540658567,0.0,0.0,28.771114459341433,0.0,N,0,0,NV,0,0.0,0,N,200
600919.SH,45,60,-1.0,N,2900,0.05868458809876594,NV,Close,Close,Y,4,4,0.0,6.568684588098765,0.0,0.0,6.451315411901234,0.0,N,0,0,NV,0,0.0,0,N,11600
600958.SH,20,60,-1.0,N,1300,0.20651486322571283,NV,Close,Close,Y,4,4,0.0,9.136514863225713,0.0,0.0,8.723485136774286,0.0,N,0,0,NV,0,0.0,0,N,5400
600999.SH,20,60,-1.0,N,900,0.19573063888020345,NV,Close,Close,Y,4,4,0.0,13.315730638880202,0.0,0.0,12.924269361119796,0.0,N,0,0,NV,0,0.0,0,N,3900
601006.SH,23,60,-1.0,N,2500,0.15641026383047177,NV,Close,Close,Y,4,4,0.0,9.346410263830471,0.0,0.0,9.033589736169528,0.0,N,0,0,NV,0,0.0,0,N,100
601088.SH,12,60,-1.0,N,800,0.4191674933702271,NV,Close,Close,Y,4,4,0.0,21.60916749337023,0.0,0.0,20.770832506629773,0.0,N,0,0,NV,0,0.0,0,N,2600
601166.SH,20,60,-1.0,N,5400,0.18671447881562903,NV,Close,Close,Y,4,4,0.0,15.41671447881563,0.0,0.0,15.043285521184371,0.0,N,0,0,NV,0,0.0,0,N,21800
601169.SH,40,60,-1.0,N,6400,0.0675314177620907,NV,Close,Close,Y,4,4,0.0,6.08753141776209,0.0,0.0,5.952468582237909,0.0,N,0,0,NV,0,0.0,0,N,25800
601186.SH,35,60,-1.0,N,2000,0.08475405767332507,NV,Close,Close,Y,4,4,0.0,8.624754057673325,0.0,0.0,8.455245942326673,0.0,N,0,0,NV,0,0.0,0,N,6300
601211.SH,18,60,-1.0,N,1600,0.229967889568888,NV,Close,Close,Y,4,4,0.0,15.019967889568887,0.0,0.0,14.560032110431111,0.0,N,0,0,NV,0,0.0,0,N,5100
601229.SH,25,60,-1.0,N,300,0.13559286444442709,NV,Close,Close,Y,4,4,0.0,15.805592864444428,0.0,0.0,15.534407135555572,0.0,N,0,0,NV,0,0.0,0,N,500
601288.SH,45,60,-1.0,N,17500,0.05749647549163408,NV,Close,Close,Y,4,4,0.0,3.647496475491634,0.0,0.0,3.532503524508366,0.0,N,0,0,NV,0,0.0,0,N,70100
601318.SH,8,60,-1.0,N,4600,0.8038928626488966,NV,Close,Close,Y,4,4,0.0,61.8938928626489,0.0,0.0,60.28610713735111,0.0,N,0,0,NV,0,0.0,0,N,100
601328.SH,45,60,-1.0,N,12100,0.05527431304023018,NV,Close,Close,Y,4,4,0.0,6.01527431304023,0.0,0.0,5.90472568695977,0.0,N,0,0,NV,0,0.0,0,N,48500
601336.SH,8,60,-1.0,N,300,0.8085977957870842,NV,Close,Close,Y,4,4,0.0,45.58859779578709,0.0,0.0,43.971402204212914,0.0,N,0,0,NV,0,0.0,0,N,200
601390.SH,35,60,-1.0,N,0,0.07803508018591389,NV,Close,Close,N,4,4,0.0,7.5480350801859135,0.0,0.0,7.391964919814086,0.0,N,0,0,NV,0,0.0,0,N,0
601398.SH,40,60,-1.0,N,9700,0.06743938782914534,NV,Close,Close,Y,4,4,0.0,5.747439387829145,0.0,0.0,5.612560612170855,0.0,N,0,0,NV,0,0.0,0,N,39000
601601.SH,8,60,-1.0,N,1300,0.8190281304404591,NV,Close,Close,Y,4,4,0.0,34.73902813044046,0.0,0.0,33.100971869559544,0.0,N,0,0,NV,0,0.0,0,N,2600
601628.SH,15,60,-1.0,N,700,0.29717910748303555,NV,Close,Close,Y,4,4,0.0,23.427179107483035,0.0,0.0,22.832820892516963,0.0,N,0,0,NV,0,0.0,0,N,700
601668.SH,30,60,-1.0,N,6600,0.10256039382965393,NV,Close,Close,Y,4,4,0.0,8.362560393829654,0.0,0.0,8.157439606170346,0.0,N,0,0,NV,0,0.0,0,N,13200
601669.SH,35,60,-1.0,N,2000,0.08207062890663293,NV,Close,Close,Y,4,4,0.0,5.5720706289066335,0.0,0.0,5.407929371093367,0.0,N,0,0,NV,0,0.0,0,N,8300
601688.SH,15,60,-1.0,N,1400,0.3035523120280817,NV,Close,Close,Y,4,4,0.0,14.553552312028081,0.0,0.0,13.946447687971919,0.0,N,0,0,NV,0,0.0,0,N,5900
601766.SH,35,60,-1.0,N,3200,0.09355821585377616,NV,Close,Close,Y,4,4,0.0,7.6735582158537765,0.0,0.0,7.486441784146224,0.0,N,0,0,NV,0,0.0,0,N,12900
601800.SH,25,60,-1.0,N,600,0.13554797581448147,NV,Close,Close,Y,4,4,0.0,12.205547975814481,0.0,0.0,11.93445202418552,0.0,N,0,0,NV,0,0.0,0,N,2100
601818.SH,45,60,-1.0,N,7000,0.05557034283048963,NV,Close,Close,Y,4,4,0.0,3.8855703428304897,0.0,0.0,3.7744296571695104,0.0,N,0,0,NV,0,0.0,0,N,28000
601857.SH,34,60,-1.0,N,2600,0.09672704885386656,NV,Close,Close,Y,4,4,0.0,7.366727048853866,0.0,0.0,7.173272951146133,0.0,N,0,0,NV,0,0.0,0,N,10600
601878.SH,22,60,-1.0,N,100,0.1931157572898835,NV,Close,Close,Y,4,4,0.0,8.533115757289883,0.0,0.0,8.146884242710117,0.0,N,0,0,NV,0,0.0,0,N,400
601881.SH,20,60,-1.0,N,200,0.2147660522150442,NV,Close,Close,Y,4,4,0.0,7.7747660522150435,0.0,0.0,7.345233947784956,0.0,N,0,0,NV,0,0.0,0,N,900
601985.SH,35,60,-1.0,N,2000,0.08839063193219622,NV,Close,Close,Y,4,4,0.0,5.778390631932196,0.0,0.0,5.6016093680678045,0.0,N,0,0,NV,0,0.0,0,N,4300
601988.SH,55,60,-1.0,N,9100,0.042948946963255144,NV,Close,Close,Y,4,4,0.0,3.7829489469632556,0.0,0.0,3.697051053036745,0.0,N,0,0,NV,0,0.0,0,N,36700
601989.SH,55,60,-1.0,N,4100,0.05014704303765073,NV,Close,Close,Y,4,4,0.0,3.9101470430376506,0.0,0.0,3.809852956962349,0.0,N,0,0,NV,0,0.0,0,N,16500
603993.SH,20,60,-1.0,N,1100,0.2107773934198897,NV,Close,Close,Y,4,4,0.0,6.310777393419889,0.0,0.0,5.88922260658011,0.0,N,0,0,NV,0,0.0,0,N,4600
600309.SH,20,60,-1.0,N,0,0.22799431517268917,NV,Close,Close,N,4,4,0.0,48.28799431517269,0.0,0.0,47.832005684827315,0.0,N,0,0,NV,0,0.0,0,N,0
