Stock,BackDays,Zhisun_day,Zhisun_price,IsFixZhisunPrice,EachStockTradeQuantity,VolAbs,LastTradeType,UpOpenFlag,DownOpenFlag,ExecTFlag,BuyLeft,SellLeft,VolUp1,VolUp2,VolUp3,VolDown4,VolDown5,VolDown6,SpecialZhisunFlag,SpecialZhisunPrice,SpecialZhisunDay,OpenTradeType,OpenTradeQuantity,OpenTradePrice,OpenTradeId,ZhisunFlag,DailyStartPosition
600000.SH,28,60,1,N,5500,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600016.SH,38,60,1,N,10200,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600019.SH,25,60,1,N,4200,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600028.SH,30,60,1,N,4600,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600029.SH,20,60,1,N,1500,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600030.SH,17,60,1,N,3300,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600036.SH,12,60,1,N,4500,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600048.SH,18,60,1,N,3200,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600050.SH,28,60,1,N,3900,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600104.SH,15,60,1,N,1300,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600111.SH,25,60,1,N,900,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600340.SH,10,60,1,N,500,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600518.SH,12,60,1,N,1000,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600519.SH,3,60,1,N,200,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600547.SH,12,60,1,N,300,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600606.SH,30,60,1,N,1600,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600837.SH,30,60,1,N,3600,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600887.SH,10,60,1,N,2600,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600919.SH,45,60,1,N,2900,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600958.SH,20,60,1,N,1300,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
600999.SH,20,60,1,N,900,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601006.SH,23,60,1,N,2500,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601088.SH,12,60,1,N,800,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601166.SH,20,60,1,N,5400,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601169.SH,40,60,1,N,6400,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601186.SH,35,60,1,N,2000,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601211.SH,18,60,1,N,1600,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601229.SH,25,60,1,N,300,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601288.SH,45,60,1,N,17500,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601318.SH,8,60,1,N,4600,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601328.SH,45,60,1,N,12100,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601336.SH,8,60,1,N,300,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601390.SH,35,60,1,N,0,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601398.SH,40,60,1,N,9700,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601601.SH,8,60,1,N,1300,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601628.SH,15,60,1,N,700,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601668.SH,30,60,1,N,6600,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601669.SH,35,60,1,N,2000,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601688.SH,15,60,1,N,1400,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601766.SH,35,60,1,N,3200,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601800.SH,25,60,1,N,600,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601818.SH,45,60,1,N,7000,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601857.SH,34,60,1,N,2600,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601878.SH,22,60,1,N,100,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601881.SH,20,60,1,N,200,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601985.SH,35,60,1,N,2000,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601988.SH,55,60,1,N,9100,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
601989.SH,55,60,1,N,4100,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
603993.SH,20,60,1,N,1100,0,NV,Close,Close,N,4,4,0,0,0,0,0,0,N,0,0,NV,0,0,0,N,0
