Stock,BackDays,Zhisun_day,Zhisun_price,IsFixZhisunPrice,EachStockTradeQuantity,VolAbs,LastTradeType,UpOpenFlag,DownOpenFlag,ExecTFlag,BuyLeft,SellLeft,VolUp1,VolUp2,VolUp3,VolDown4,VolDown5,VolDown6,SpecialZhisunFlag,SpecialZhisunPrice,SpecialZhisunDay,OpenTradeType,OpenTradeQuantity,OpenTradePrice,OpenTradeId,ZhisunFlag,DailyStartPosition
600000.SH,28,60,-1.0,N,5500,0.11400785291375022,NV,Close,Close,Y,4,4,0.0,9.87400785291375,0.0,0.0,9.64599214708625,0.0,N,0,0,NV,0,0.0,0,N,11200
600016.SH,38,60,-1.0,N,10200,0.07185358597045738,NV,Close,Close,Y,4,4,0.0,7.311853585970457,0.0,0.0,7.168146414029543,0.0,N,0,0,NV,0,0.0,0,N,40800
600019.SH,25,60,-1.0,N,4200,0.1430589624633647,NV,Close,Close,Y,4,4,0.0,8.833058962463364,0.0,0.0,8.546941037536635,0.0,N,0,0,NV,0,0.0,0,N,8400
600028.SH,30,60,-1.0,N,4600,0.10886469546143372,NV,Close,Close,Y,4,4,0.0,6.378864695461433,0.0,0.0,6.161135304538566,0.0,N,0,0,NV,0,0.0,0,N,9300
600029.SH,20,60,-1.0,N,1500,0.20139118197529576,NV,Close,Close,Y,4,4,0.0,10.261391181975297,0.0,0.0,9.858608818024704,0.0,N,0,0,NV,0,0.0,0,N,1600
600030.SH,17,60,-1.0,N,3300,0.2542446887166656,NV,Close,Close,Y,4,4,0.0,16.794244688716663,0.0,0.0,16.285755311283335,0.0,N,0,0,NV,0,0.0,0,N,6800
600036.SH,12,60,-1.0,N,4500,0.4167158037614371,NV,Close,Close,Y,4,4,0.0,29.03671580376144,0.0,0.0,28.203284196238563,0.0,N,0,0,NV,0,0.0,0,N,4700
600048.SH,18,60,-1.0,N,3200,0.24329403536128488,NV,Close,Close,Y,4,4,0.0,14.313294035361285,0.0,0.0,13.826705964638716,0.0,N,0,0,NV,0,0.0,0,N,3200
600050.SH,28,60,-1.0,N,3900,0.12687877475284667,NV,Close,Close,Y,4,4,0.0,5.026878774752847,0.0,0.0,4.773121225247154,0.0,N,0,0,NV,0,0.0,0,N,15900
600104.SH,15,60,-1.0,N,1300,0.293541880889252,NV,Close,Close,Y,4,4,0.0,35.55354188088925,0.0,0.0,34.96645811911075,0.0,N,0,0,NV,0,0.0,0,N,1300
600111.SH,25,60,-1.0,N,900,0.14071386516997694,NV,Close,Close,Y,4,4,0.0,11.570713865169976,0.0,0.0,11.289286134830023,0.0,N,0,0,NV,0,0.0,0,N,1800
600340.SH,10,60,-1.0,N,500,0.5620584284669133,buy3,Open,Close,Y,4,3,29.391029214233455,29.11,28.828970785766543,28.26691235729963,27.98588314306617,27.704853928832716,N,0,0,NV,0,0.0,0,N,600
600518.SH,12,60,-1.0,N,1000,0.4127467411676321,NV,Close,Close,Y,4,4,0.0,23.352746741167632,0.0,0.0,22.52725325883237,0.0,N,0,0,NV,0,0.0,0,N,4200
600519.SH,3,60,-1.0,N,200,10.47933731358471,NV,Close,Close,Y,4,4,0.0,777.0093373135846,0.0,0.0,756.0506626864153,0.0,N,0,0,NV,0,0.0,0,N,400
600547.SH,12,60,-1.0,N,300,0.42718359585473203,NV,Close,Close,Y,4,4,0.0,24.80718359585473,0.0,0.0,23.952816404145267,0.0,N,0,0,NV,0,0.0,0,N,300
600606.SH,30,60,-1.0,N,1600,0.10635656644918642,NV,Close,Close,Y,4,4,0.0,7.276356566449186,0.0,0.0,7.063643433550814,0.0,N,0,0,NV,0,0.0,0,N,1600
600837.SH,30,60,-1.0,N,3600,0.10914024817507624,NV,Close,Close,Y,4,4,0.0,9.419140248175077,0.0,0.0,9.200859751824924,0.0,N,0,0,NV,0,0.0,0,N,11000
600887.SH,10,60,-1.0,N,2600,0.5701494548358794,NV,Close,Close,Y,4,4,0.0,30.23014945483588,0.0,0.0,29.089850545164122,0.0,N,0,0,NV,0,0.0,0,N,200
600919.SH,45,60,-1.0,N,2900,0.05864582560714208,NV,Close,Close,Y,4,4,0.0,6.588645825607142,0.0,0.0,6.471354174392858,0.0,N,0,0,NV,0,0.0,0,N,11600
600958.SH,20,60,-1.0,N,1300,0.20764547503274242,NV,Close,Close,Y,4,4,0.0,9.227645475032743,0.0,0.0,8.812354524967256,0.0,N,0,0,NV,0,0.0,0,N,5400
600999.SH,20,60,-1.0,N,900,0.19720720012015194,NV,Close,Close,Y,4,4,0.0,13.517207200120152,0.0,0.0,13.122792799879848,0.0,N,0,0,NV,0,0.0,0,N,3000
601006.SH,23,60,-1.0,N,2500,0.1564208218920384,NV,Close,Close,Y,4,4,0.0,9.376420821892038,0.0,0.0,9.063579178107963,0.0,N,0,0,NV,0,0.0,0,N,100
601088.SH,12,60,-1.0,N,800,0.4184844210920718,NV,Close,Close,Y,4,4,0.0,21.448484421092072,0.0,0.0,20.61151557890793,0.0,N,0,0,NV,0,0.0,0,N,2600
601166.SH,20,60,-1.0,N,5400,0.18664898251056392,NV,Close,Close,Y,4,4,0.0,15.336648982510564,0.0,0.0,14.963351017489437,0.0,N,0,0,NV,0,0.0,0,N,21800
601169.SH,40,60,-1.0,N,6400,0.06756991755075871,NV,Close,Close,Y,4,4,0.0,6.1175699175507585,0.0,0.0,5.982430082449241,0.0,N,0,0,NV,0,0.0,0,N,25800
601186.SH,35,60,-1.0,N,2000,0.08489991552922474,NV,Close,Close,Y,4,4,0.0,8.674899915529224,0.0,0.0,8.505100084470776,0.0,N,0,0,NV,0,0.0,0,N,6300
601211.SH,18,60,-1.0,N,1600,0.23121345326297638,NV,Close,Close,Y,4,4,0.0,15.251213453262976,0.0,0.0,14.788786546737024,0.0,N,0,0,NV,0,0.0,0,N,3500
601229.SH,25,60,-1.0,N,300,0.13473323221604983,NV,Close,Close,Y,4,4,0.0,15.80473323221605,0.0,0.0,15.53526676778395,0.0,N,0,0,NV,0,0.0,0,N,500
601288.SH,45,60,-1.0,N,17500,0.05736379077011075,NV,Close,Close,Y,4,4,0.0,3.637363790770111,0.0,0.0,3.5226362092298893,0.0,N,0,0,NV,0,0.0,0,N,70100
601318.SH,8,60,-1.0,N,4600,0.8010456009795452,NV,Close,Close,Y,4,4,0.0,61.87104560097954,0.0,0.0,60.26895439902046,0.0,N,0,0,NV,0,0.0,0,N,100
601328.SH,45,60,-1.0,N,12100,0.05520864739462873,NV,Close,Close,Y,4,4,0.0,6.015208647394629,0.0,0.0,5.904791352605371,0.0,N,0,0,NV,0,0.0,0,N,48500
601336.SH,8,60,-1.0,N,300,0.7995911381568309,NV,Close,Close,Y,4,4,0.0,45.38959113815683,0.0,0.0,43.790408861843176,0.0,N,0,0,NV,0,0.0,0,N,200
601390.SH,35,60,-1.0,N,0,0.0780086099619803,NV,Close,Close,N,4,4,0.0,7.54800860996198,0.0,0.0,7.39199139003802,0.0,N,0,0,NV,0,0.0,0,N,0
601398.SH,40,60,-1.0,N,9700,0.0672426001757239,NV,Close,Close,Y,4,4,0.0,5.7372426001757235,0.0,0.0,5.602757399824276,0.0,N,0,0,NV,0,0.0,0,N,39000
601601.SH,8,60,-1.0,N,1300,0.8098923815034548,NV,Close,Close,Y,4,4,0.0,34.88989238150345,0.0,0.0,33.270107618496546,0.0,N,0,0,NV,0,0.0,0,N,2600
601628.SH,15,60,-1.0,N,700,0.2971527545163033,NV,Close,Close,Y,4,4,0.0,23.127152754516302,0.0,0.0,22.532847245483694,0.0,N,0,0,NV,0,0.0,0,N,700
601668.SH,30,60,-1.0,N,6600,0.10274390542055434,NV,Close,Close,Y,4,4,0.0,8.222743905420554,0.0,0.0,8.017256094579444,0.0,N,0,0,NV,0,0.0,0,N,13200
601669.SH,35,60,-1.0,N,2000,0.08206878712493332,NV,Close,Close,Y,4,4,0.0,5.562068787124934,0.0,0.0,5.397931212875067,0.0,N,0,0,NV,0,0.0,0,N,8300
601688.SH,15,60,-1.0,N,1400,0.30577193144230713,NV,Close,Close,Y,4,4,0.0,14.845771931442306,0.0,0.0,14.234228068557693,0.0,N,0,0,NV,0,0.0,0,N,5900
601766.SH,35,60,-1.0,N,3200,0.09363063301752902,NV,Close,Close,Y,4,4,0.0,7.693630633017529,0.0,0.0,7.5063693669824705,0.0,N,0,0,NV,0,0.0,0,N,12900
601800.SH,25,60,-1.0,N,600,0.13566134384689513,NV,Close,Close,Y,4,4,0.0,12.315661343846894,0.0,0.0,12.044338656153105,0.0,N,0,0,NV,0,0.0,0,N,2100
601818.SH,45,60,-1.0,N,7000,0.055524045226428266,NV,Close,Close,Y,4,4,0.0,3.875524045226428,0.0,0.0,3.7644759547735718,0.0,N,0,0,NV,0,0.0,0,N,28000
601857.SH,34,60,-1.0,N,2600,0.09626727404281066,NV,Close,Close,Y,4,4,0.0,7.396267274042811,0.0,0.0,7.203732725957189,0.0,N,0,0,NV,0,0.0,0,N,10600
601878.SH,22,60,-1.0,N,100,0.1960703804170053,NV,Close,Close,Y,4,4,0.0,8.756070380417006,0.0,0.0,8.363929619582995,0.0,N,0,0,NV,0,0.0,0,N,300
601881.SH,20,60,-1.0,N,200,0.21677917359338625,NV,Close,Close,Y,4,4,0.0,7.926779173593387,0.0,0.0,7.493220826406613,0.0,N,0,0,NV,0,0.0,0,N,900
601985.SH,35,60,-1.0,N,2000,0.08854884885836771,NV,Close,Close,Y,4,4,0.0,5.818548848858368,0.0,0.0,5.6414511511416325,0.0,N,0,0,NV,0,0.0,0,N,4300
601988.SH,55,60,-1.0,N,9100,0.04281467138697858,NV,Close,Close,Y,4,4,0.0,3.7828146713869786,0.0,0.0,3.697185328613022,0.0,N,0,0,NV,0,0.0,0,N,36700
601989.SH,55,60,-1.0,N,4100,0.05073645717180811,NV,Close,Close,Y,4,4,0.0,3.990736457171808,0.0,0.0,3.889263542828192,0.0,N,0,0,NV,0,0.0,0,N,12400
603993.SH,20,60,-1.0,N,1100,0.21379335687671763,NV,Close,Close,Y,4,4,0.0,6.513793356876717,0.0,0.0,6.086206643123282,0.0,N,0,0,NV,0,0.0,0,N,3500
600309.SH,20,60,-1.0,N,0,0.22772744180789778,NV,Close,Close,N,4,4,0.0,48.8677274418079,0.0,0.0,48.4122725581921,0.0,N,0,0,NV,0,0.0,0,N,0
