Stock,BackDays,Zhisun_day,Zhisun_price,IsFixZhisunPrice,EachStockTradeQuantity,VolAbs,LastTradeType,UpOpenFlag,DownOpenFlag,ExecTFlag,BuyLeft,SellLeft,VolUp1,VolUp2,VolUp3,VolDown4,VolDown5,VolDown6,SpecialZhisunFlag,SpecialZhisunPrice,SpecialZhisunDay,OpenTradeType,OpenTradeQuantity,OpenTradePrice,OpenTradeId,ZhisunFlag,DailyStartPosition
600000.SH,28,60,-1.0,N,5500,0.11542477466785184,NV,Close,Close,Y,4,4,0.0,10.865424774667853,0.0,0.0,10.634575225332147,0.0,N,0,0,NV,0,0.0,0,N,11200
600016.SH,38,60,-1.0,N,10200,0.0722014180899922,NV,Close,Close,Y,4,4,0.0,7.792201418089992,0.0,0.0,7.647798581910007,0.0,N,0,0,NV,0,0.0,0,N,40800
600019.SH,25,60,-1.0,N,4200,0.1435358321095701,NV,Close,Close,Y,4,4,0.0,8.91353583210957,0.0,0.0,8.626464167890429,0.0,N,0,0,NV,0,0.0,0,N,8400
600028.SH,30,60,-1.0,N,4600,0.11154053269974452,NV,Close,Close,Y,4,4,0.0,7.161540532699744,0.0,0.0,6.938459467300255,0.0,N,0,0,NV,0,0.0,0,N,9300
600029.SH,20,60,-1.0,N,1500,0.1968142317402541,NV,Close,Close,Y,4,4,0.0,10.336814231740254,0.0,0.0,9.943185768259747,0.0,N,0,0,NV,0,0.0,0,N,6100
600030.SH,17,60,-1.0,N,3300,0.24761486687243478,NV,Close,Close,Y,4,4,0.0,18.937614866872437,0.0,0.0,18.442385133127566,0.0,N,0,0,NV,0,0.0,0,N,13400
600036.SH,12,60,-1.0,N,4500,0.4173184636126967,NV,Close,Close,Y,4,4,0.0,29.6673184636127,0.0,0.0,28.8326815363873,0.0,N,0,0,NV,0,0.0,0,N,13700
600048.SH,18,60,-1.0,N,3200,0.2356518333230998,NV,Close,Close,Y,4,4,0.0,13.5156518333231,0.0,0.0,13.0443481666769,0.0,N,0,0,NV,0,0.0,0,N,3200
600050.SH,28,60,-1.0,N,3900,0.12197470401201439,NV,Close,Close,Y,4,4,0.0,5.601974704012015,0.0,0.0,5.358025295987986,0.0,N,0,0,NV,0,0.0,0,N,15900
600104.SH,15,60,-1.0,N,1300,0.2979530489164945,NV,Close,Close,Y,4,4,0.0,36.4979530489165,0.0,0.0,35.902046951083506,0.0,N,0,0,NV,0,0.0,0,N,1300
600111.SH,25,60,-1.0,N,900,0.1352142978363482,NV,Close,Close,Y,4,4,0.0,12.085214297836348,0.0,0.0,11.81478570216365,0.0,N,0,0,NV,0,0.0,0,N,3900
600340.SH,10,60,-1.0,N,500,0.5611918786778376,NV,Close,Close,Y,4,4,0.0,28.441191878677838,0.0,0.0,27.31880812132216,0.0,N,0,0,NV,0,0.0,0,N,1600
600518.SH,12,60,-1.0,N,1000,0.42927707250554004,NV,Close,Close,Y,4,4,0.0,25.579277072505537,0.0,0.0,24.72072292749446,0.0,N,0,0,NV,0,0.0,0,N,4200
600519.SH,3,60,-1.0,N,200,10.711001616872561,NV,Close,Close,Y,4,4,0.0,792.6810016168725,0.0,0.0,771.2589983831275,0.0,N,0,0,NV,0,0.0,0,N,400
600547.SH,12,60,-1.0,N,300,0.43048696792290664,NV,Close,Close,Y,4,4,0.0,27.740486967922905,0.0,0.0,26.879513032077092,0.0,N,0,0,NV,0,0.0,0,N,300
