Stock,Weight
600309.SH,1.08
601857.SH,1.08
601006.SH,1.07
601989.SH,1.01
601186.SH,0.99
601088.SH,0.9
601390.SH,0.9
601628.SH,0.89
600999.SH,0.82
600029.SH,0.79
600958.SH,0.79
601336.SH,0.79
600340.SH,0.75
601985.SH,0.68
601669.SH,0.63
600111.SH,0.6
600606.SH,0.57
600547.SH,0.45
601800.SH,0.44
603993.SH,0.44
601229.SH,0.28
601881.SH,0.14
601878.SH,0.1
601318.SH,14.34
600519.SH,7.24
600036.SH,6.58
601166.SH,4.37
600016.SH,3.97
601328.SH,3.69
600887.SH,3.47
600030.SH,3.25
601288.SH,3.17
600000.SH,2.96
601398.SH,2.81
601668.SH,2.74
600104.SH,2.43
601169.SH,2.19
601601.SH,2.16
600048.SH,2.03
600837.SH,2.01
600019.SH,1.78
601988.SH,1.75
600028.SH,1.58
601766.SH,1.53
600518.SH,1.45
601211.SH,1.44
601818.SH,1.4
601688.SH,1.3
600050.SH,1.13
600919.SH,1.08
