Stock,Weight
600309.SH,0
601857.SH,1.124378699
601006.SH,1.023435517
601989.SH,0.928801986
601186.SH,3.734780231
601088.SH,0.873513041
601390.SH,0
601628.SH,0.386833354
600999.SH,0.280791988
600029.SH,2.258490491
600958.SH,0.195292811
601336.SH,3.269529778
600340.SH,1.795811076
601985.SH,0.501739126
601669.SH,0.609894596
600111.SH,0.721432155
600606.SH,1.10421083
600547.SH,0.748585632
601800.SH,1.749718403
603993.SH,3.04576017
601229.SH,1.009208141
601881.SH,0.530090913
601878.SH,0.33691886
601318.SH,10.07157412
600519.SH,7.852450018
600036.SH,3.685219433
601166.SH,2.017407137
600016.SH,0.902136953
601328.SH,0.868543381
600887.SH,7.478164312
600030.SH,3.350812751
601288.SH,2.432434709
600000.SH,0.633565293
601398.SH,4.102932624
601668.SH,3.165772509
600104.SH,1.100070796
601169.SH,0.746859123
601601.SH,1.629725008
600048.SH,6.888842958
600837.SH,1.607378347
600019.SH,1.442208374
601988.SH,1.145108422
600028.SH,2.683402583
601766.SH,1.612101065
600518.SH,0.729371314
601211.SH,0.698659779
601818.SH,0.721051897
601688.SH,2.812067653
600050.SH,2.883704627
600919.SH,0.509217018
